EPCI;EPCI_EPT;EPCI_EPTinc;EPCIlibFull;EPCIlibFullNCC;EPCIlibShort;EPCIlibShortNCC;TYPE_EPCI;TYPE_EPCIlib;METRoff;DENSEPCI;DENSEPCIlib;REG_dom;DEP_dom;DEPshort_dom;regdep
244000766;244000766;0;Communauté de communes du Pays Tarusate;COMMUNAUTE DE COMMUNES DU PAYS TARUSATE;CC du Pays Tarusate;CC DU PAYS TARUSATE;CC;Communauté de communes;0;3;Rural;75;40;40-Lan;NAQ/40-Lan
244000774;244000774;0;Communauté de communes du Pays de Villeneuve en Armagnac Landais;COMMUNAUTE DE COMMUNES DU PAYS DE VILLENEUVE EN ARMAGNAC LANDAIS;CC du Pays de Villeneuve en Armagnac Landais;CC DU PAYS DE VILLENEUVE EN ARMAGNAC LANDAIS;CC;Communauté de communes;0;3;Rural;75;40;40-Lan;NAQ/40-Lan
244000808;244000808;0;Communauté d'agglomération Mont de Marsan Agglomération;MONT DE MARSAN AGGLOMERATION;Mont de Marsan Agglomération;MONT DE MARSAN AGGLOMERATION;CA;Communauté d'agglomération;0;2;Urbain intermédiaire;75;40;40-Lan;NAQ/40-Lan
244000824;244000824;0;Communauté de communes du Pays Grenadois;COMMUNAUTE DE COMMUNES DU PAYS GRENADOIS;CC du Pays Grenadois;CC DU PAYS GRENADOIS;CC;Communauté de communes;0;3;Rural;75;40;40-Lan;NAQ/40-Lan
244000857;244000857;0;Communauté de communes Côte Landes Nature;COMMUNAUTE DE COMMUNES COTE LANDES NATURE;CC Côte Landes Nature;CC COTE LANDES NATURE;CC;Communauté de communes;0;3;Rural;75;40;40-Lan;NAQ/40-Lan
244000865;244000865;0;Communauté de communes Maremne Adour Côte Sud;COMMUNAUTE DE COMMUNES MAREMNE ADOUR COTE SUD;CC Maremne Adour Côte Sud;CC MAREMNE ADOUR COTE SUD;CC;Communauté de communes;0;3;Rural;75;40;40-Lan;NAQ/40-Lan
244000873;244000873;0;Communauté de communes des Grands Lacs;COMMUNAUTE DE COMMUNES DES GRANDS LACS;CC des Grands Lacs;CC DES GRANDS LACS;CC;Communauté de communes;0;2;Urbain intermédiaire;75;40;40-Lan;NAQ/40-Lan
244000881;244000881;0;Communauté de communes Coteaux et Vallées des Luys;COMMUNAUTE DE COMMUNES COTEAUX ET VALLEES DES LUYS;CC Coteaux et Vallées des Luys;CC COTEAUX ET VALLEES DES LUYS;CC;Communauté de communes;0;3;Rural;75;40;40-Lan;NAQ/40-Lan
244100293;244100293;0;Communauté de communes des Collines du Perche;COMMUNAUTE DE COMMUNES DES COLLINES DU PERCHE;CC des Collines du Perche;CC DES COLLINES DU PERCHE;CC;Communauté de communes;0;3;Rural;24;41;41-LeC;CVL/41-LeC
244100780;244100780;0;Communauté de communes de la Sologne des Étangs;COMMUNAUTE DE COMMUNES DE LA SOLOGNE DES ETANGS;CC de la Sologne des Étangs;CC DE LA SOLOGNE DES ETANGS;CC;Communauté de communes;0;3;Rural;24;41;41-LeC;CVL/41-LeC
244100798;244100798;0;Communauté de communes du Grand Chambord;COMMUNAUTE DE COMMUNES DU GRAND CHAMBORD;CC du Grand Chambord;CC DU GRAND CHAMBORD;CC;Communauté de communes;0;3;Rural;24;41;41-LeC;CVL/41-LeC
244100806;244100806;0;Communauté de communes de la Sologne des Rivières;COMMUNAUTE DE COMMUNES DE LA SOLOGNE DES RIVIERES;CC de la Sologne des Rivières;CC DE LA SOLOGNE DES RIVIERES;CC;Communauté de communes;0;3;Rural;24;41;41-LeC;CVL/41-LeC
244200614;244200614;0;Communauté de communes des Vals d'Aix et Isable;COMMUNAUTE DE COMMUNES DES VALS D AIX ET ISABLE;CC des Vals d'Aix et Isable;CC DES VALS D'AIX ET ISABLE;CC;Communauté de communes;0;3;Rural;84;42;42-Loi;ARA/42-Loi
